Anno,Stazione,Numero_misurazioni
2004,72410499999,18616
2003,72410499999,18293
2002,02869099999,16848
2004,99640099999,8594
2003,99640099999,8466
2002,03604099999,8413
2004,57328099999,2899
2003,57328099999,2872
2004,95658099999,2839
2003,95658099999,2822
2002,01092099999,2805
2003,02602099999,2706
2002,02602099999,2698
2004,02602099999,2603
2002,06021099999,1381
2004,68377099999,1322
2003,68377099999,1251
2003,89266099999,652
2004,71393099999,392
2001,99999994993,375
2001,99999994992,375
2001,99999994994,375
2001,99999994989,375
2001,99999994988,375
2000,99999994994,316
2000,99999994992,316
2000,99999994988,316
2000,99999994991,316
2000,99999994989,316
2000,99999994993,316
2002,04212099999,6
2002,02508099999,4
2003,99689099999,3
2002,03118099999,2
2004,99689099999,2
2004,02328099999,1
2002,02328099999,1
2003,15318099999,1
